區名,里名,average_unit_price
East District,三民里,129397.7364888889
East District,中正里,140576.3743
East District,仙宮里,118875.97894999999
East District,仙水里,157838.81407999998
East District,光復里,125043.5656
East District,光明里,150996.91814
East District,光鎮里,98706.43417714284
East District,公園里,132305.97835714286
East District,前溪里,107732.7869
East District,南市里,123996.70199999999
East District,南門里,131262.8699
East District,埔頂里,167959.609737037
East District,埔顶里,168547.7955
East District,建功里,155046.28886666667
East District,建華里,115468.66440000001
East District,復中里,118349.5991375
East District,復興里,123741.26598333335
East District,成功里,134645.0238
East District,振興里,113476.67673333333
East District,文華里,113875.61219000001
East District,新光里,106507.3729824138
East District,新興里,117604.336575
East District,新莊里,162143.98171904762
East District,明湖里,80244.95846388889
East District,東勢里,112453.7369
East District,東區,83546.42639571428
East District,東園里,132744.41653
East District,東山里,119829.86798000001
East District,柴橋里,76515.2537827027
East District,榮光里,132695.6141
East District,武功里,125955.5523
East District,湖濱里,81430.28722666668
East District,福德里,116350.0211
East District,科園里,145205.7985
East District,立功里,152971.18748
East District,綠水里,123022.12112857144
East District,育賢里,150424.3646
East District,親仁里,122537.26610000001
East District,豐功里,133171.9382
East District,軍功里,132007.945775
East District,金山里,148682.44193846153
East District,錦華里,119872.52620000001
East District,關帝里,124042.2793
East District,關東里,158804.37705
East District,頂埔里,92922.7513
East District,頂竹里,120676.68631666666
East District,高峰里,118291.639725
East District,龍山里,166406.8703
North District,中央里,112453.7369
North District,中寮里,93015.25696214286
North District,中山里,121639.14125
North District,中興里,122050.31215
North District,仁德里,126821.66376666666
North District,光田里,107383.633975
North District,光華里,106335.29114999999
North District,北門里,117988.32053333333
North District,南勢里,88983.43116461538
North District,南寮里,94517.03347
North District,台溪里,114806.17582222221
North District,境福里,90909.22989090909
North District,士林里,89659.48038119404
North District,大同里,112645.30820000001
North District,客雅里,91433.34725960318
North District,崇禮里,120133.3821
North District,康樂里,104249.26610555555
North District,文雅里,101658.49772272726
North District,新民里,118695.17788333334
North District,新雅里,99606.17020000001
North District,曲溪里,92421.92488666666
North District,武陵里,96587.485003
North District,民富里,112878.16663749999
North District,水田里,109808.91929142857
North District,海濱里,93855.29237764706
North District,港北里,82083.436398
North District,湳中里,93262.500676875
North District,湳雅里,102928.32586666667
North District,石坊里,128798.0085
North District,磐石里,109185.53063333333
North District,福林里,90478.81882942858
North District,科園里,112453.7369
North District,育英里,114922.73079181818
North District,興南里,126132.63425
North District,舊社里,102618.363181
North District,西門里,125381.42326666666
North District,西雅里,98072.39934999999
North District,金竹里,102072.4837
North District,金華里,109942.53852857141
North District,金雅里,89226.007574
North District,長和里,116664.5291
North District,鹽水里,112453.7369
North District,龍山里,112453.7369
Xiangshan District,中隘里,65551.407935
Xiangshan District,內湖里,67376.53709538461
Xiangshan District,南港里,63619.7786
Xiangshan District,南隘里,88865.91669
Xiangshan District,埔前里,94782.73792833334
Xiangshan District,大庄里,73243.955664
Xiangshan District,朝山里,59352.29286
Xiangshan District,東香里,80835.8946409091
Xiangshan District,樹下里,86218.362545
Xiangshan District,海山里,69654.752288
Xiangshan District,浸水里,82726.951958
Xiangshan District,港南里,59305.70775288889
Xiangshan District,牛埔里,84247.76752428571
Xiangshan District,茄苳里,60671.83113875
Xiangshan District,虎山里,81341.12131333334
Xiangshan District,虎林里,104000.925825
Xiangshan District,頂埔里,91247.90984499999
Xiangshan District,頂福里,82537.65961540541
Xiangshan District,香山里,76148.27082
Xiangshan District,香村里,77314.09514250001
